smiles,molecular_weight,#ro5_violations,alogp,standard_value,mol,MACCS_fp,morgan_fp
NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1,331.37,0.0,2.66,199.53,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583580>
Cc1cccnc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1,382.37,0.0,2.91,1540.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95835F0>
CCCCSc1ccccc1OC(C)=O,224.32,0.0,3.5,34000.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE2E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB2E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583660>
COc1ccc(-n2nc(COc3cc(F)cc(C4(OC)CCOCC4)c3)cc2-c2ccccc2)cc1,488.56,1.0,5.92,300.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95836D0>
COC1(c2cc(F)cc(OCc3cc(-c4ccccc4)n(-c4ccc(C)cc4)n3)c2)CCOCC1,472.56,1.0,6.22,930.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE3C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB3C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583740>
O=C1O[C@H](c2ccc(O)c(O)c2)[C@H]2CO[C@H](c3ccc(O)c(O)c3)[C@@H]12,344.32,0.0,2.11,90200.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E95837B0>
Clc1ccc(COc2nc3ccccc3s2)cc1,275.76,0.0,4.53,770.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE4A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB4A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583820>
NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(F)cc2)cc1,334.33,0.0,1.88,1500.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583890>
CC(C)(C)c1cc(/C=C2\OC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O,358.44,0.0,2.51,5100.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583900>
CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccccc1OCc1ccccc1,448.54,0.0,4.37,3200.0,<rdkit.Chem.rdchem.Mol object at 0x000001C96F3BE5F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E94BB5F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001C9E9583970>
