,Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Value
69,Cc1cc(=O)c(Oc2ccc(OC(F)(F)F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,440.39,0.0,4.71,1440.0
70,CC(C(=O)NCCc1c[nH]c2ccc(O)cc12)c1ccc(-c2ccccc2)c(F)c1,402.47,1.0,5.14,8000.0
71,CC1(O)OC(=O)C(c2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,380.37,0.0,2.54,550.0
72,CCCC/C(=C\c1cc(OCc2cc3ccccc3s2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,540.6,2.0,8.74,10000.0
73,CCCC/C(=C\c1cc(OCc2csc(-c3ccc(C(F)(F)F)cc3)n2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,635.63,2.0,9.66,10000.0
74,Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)NO)cc1.O,348.38,0.0,2.98,1100.0
75,CC1(C)OC(=O)C(Oc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,358.42,0.0,3.22,20.0
76,Cn1c(Br)c(Br)c(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,487.19,1.0,5.43,55670.0
77,Cc1ccc(Oc2c(-c3ccc(S(C)(=O)=O)cc3)oc(C)cc2=O)cc1,370.43,0.0,4.12,209.99
78,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCCCC3)C2)cc1,384.52,1.0,5.88,100000.0
79,CS(=O)(=O)c1ccc2c(c1)c1c(n2C(=O)c2ccccc2)CCNC1.Cl,390.89,0.0,2.38,83920.87833114696
80,COc1cc2occc2c(OC)c1-c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,509.97,2.0,5.27,26000.0
81,COc1c(-c2cc(-c3cccnc3)nn2-c2ccc(S(N)(=O)=O)cc2)c(O)c(OC)c2occc12,492.51,0.0,3.72,360.0
82,COc1ccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)cc1OC,452.49,0.0,3.53,83920.89132722953
83,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2cc(O)ccc2S(=O)(=O)N1,477.33,0.0,4.52,100000.0
84,COc1ccc2c(c1)S(=O)(=O)NC(C(=O)Nc1ccc(-c3ccc(Cl)c(Cl)c3)cc1)=C2O,491.35,0.0,4.83,83920.89953263347
85,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OCC3CCCCCC3)n2)cc1,428.48,0.0,4.92,1034.0
86,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OC3CCC3)n2)cc1,372.37,0.0,3.5,10.0
87,Cc1cc(-c2ccc(S(C)(=O)=O)cc2)nc(NC2CCCCC2)n1,345.47,0.0,3.6,1683.0
88,CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3)[n+]([O-])c2-c2ccc(F)cc2)cc1,434.49,0.0,4.18,717.0
89,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,380.66,0.0,0.82,83920.87615642443
90,Fc1ccc(/N=C/c2c[nH]c3ccccc23)cc1,238.26,0.0,4.06,17200.0
91,Fc1ccc(/N=C/c2cn(Cc3ccccc3)c3ccccc23)cc1,328.39,1.0,5.58,710.0
92,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1,363.36,0.0,4.09,3.981
